Customer ID,frequency_cal,recency_cal,T_cal,monetary_value_cal,frequency_holdout,monetary_value_holdout,duration_holdout,probability_alive,predicted_purchases,exp_avg_sales,predicted_ltv,CLV
100004,5.0,411.0,1819.0,4713.95,0.0,0.0,366.0,0.002868909488046642,0.0,-1086.385478799654,49.35335181246384,12.8318714712406
100007,8.0,1343.0,1706.0,1985.4125,0.0,0.0,366.0,0.6021055589376266,1.0,-1086.385478799654,6407.876563846967,1666.0479066002115
100008,1.0,392.0,981.0,2595.0,0.0,0.0,366.0,0.3420934907158579,0.0,-1086.385478799654,2193.360699741825,570.2737819328745
100009,1.0,34.0,1586.0,1102.0,0.0,0.0,366.0,0.013286064481833506,0.0,-1086.385478799654,27.29494190063555,7.096684894165243
100010,1.0,48.0,1197.0,350.0,0.0,0.0,366.0,0.03125729002646017,0.0,-1086.385478799654,25.345995898866278,6.5899589337052324
100012,8.0,1500.0,1743.0,15402.0,0.0,0.0,366.0,0.76243521386222,1.0,-1086.385478799654,61997.880781326385,16119.44900314486
100013,1.0,51.0,105.0,500.0,0.0,0.0,366.0,0.6999128255492876,2.0,-1086.385478799654,1945.1227152975976,505.7319059773754
100014,8.0,1758.0,1772.0,2501.1575000000003,0.0,0.0,366.0,0.9166612561468248,2.0,-1086.385478799654,11985.05460345707,3116.1141968988386
100015,1.0,115.0,1282.0,1599.0,0.0,0.0,366.0,0.046764955517019036,0.0,-1086.385478799654,158.60975702679835,41.238536826967575
100016,1.0,602.0,1294.0,600.0,0.0,0.0,366.0,0.37947826953163927,0.0,-1086.385478799654,490.8499817396536,127.62099525230994
100017,4.0,589.0,1706.0,4020.0,0.0,0.0,366.0,0.04232721120961739,0.0,-1086.385478799654,560.0010346353107,145.6002690051808
100019,1.0,374.0,854.0,1300.0,1.0,4650.0,366.0,0.39988069353156086,0.0,4766.485323864495,1397.5266600460232,363.35693161196605
100020,8.0,688.0,1772.0,694.0,2.0,1138.0,366.0,0.005561204817153256,0.0,1160.3576264606286,20.23193605731832,5.260303374902763
100021,6.0,691.0,1630.0,874.8333333333334,3.0,1753.8,366.0,0.03628081015485448,0.0,1772.7678657733363,141.820400364038,36.87330409464988
100023,1.0,1547.0,1791.0,489.99,0.0,0.0,366.0,0.7185581434576089,0.0,-1086.385478799654,619.9483126504999,161.18656128913
100025,2.0,908.0,1784.0,472.5,0.0,0.0,366.0,0.33282581294623736,0.0,-1086.385478799654,351.80092577976774,91.46824070273962
100026,8.0,1256.0,1779.0,814.375,0.0,0.0,366.0,0.3743671347246496,1.0,-1086.385478799654,1593.1482735905827,414.2185511335515
100027,2.0,235.0,1349.0,2855.5,0.0,0.0,366.0,0.03913419987217306,0.0,-1086.385478799654,293.7784729638511,76.38240297060128
100031,21.0,862.0,876.0,44156.67380952381,10.0,1865.3884210526319,366.0,0.9525512990112874,6.0,1871.2748318548477,748153.2695977079,194519.85009540405
100032,1.0,28.0,1646.0,1160.0,0.0,0.0,366.0,0.011329786210821424,0.0,-1086.385478799654,23.886974580084743,6.210613390822034
100033,2.0,355.0,1790.0,1435.5,0.0,0.0,366.0,0.035011054331829355,0.0,-1086.385478799654,110.49505121309548,28.728713315404825
100034,3.0,376.0,516.0,3978.8333333333335,1.0,2419.1,366.0,0.6901034675679292,1.0,2490.283781635558,14616.851761630212,3800.3814580238554
100036,5.0,455.0,925.0,15085.560000000001,0.0,0.0,366.0,0.1929622426830656,0.0,-1086.385478799654,15965.83060393698,4151.115957023615
100037,38.0,1630.0,1638.0,17759.254736842107,19.0,58416.64271428573,366.0,0.9749787286075181,7.0,58479.03672417806,369957.613945782,96188.97962590333
100040,8.0,1088.0,1586.0,960.98375,0.0,0.0,366.0,0.3335055344162891,1.0,-1086.385478799654,1803.1710855207714,468.8244822354006
100042,2.0,329.0,1793.0,1538.5,0.0,0.0,366.0,0.029390760787544074,0.0,-1086.385478799654,99.25160693317414,25.80541780262528
100046,5.0,410.0,1812.0,2693.1,0.0,0.0,366.0,0.002907633557450275,0.0,-1086.385478799654,28.66945522441227,7.454058358347191
100048,2.0,148.0,1009.0,5467.775,0.0,0.0,366.0,0.04710622427460629,0.0,-1086.385478799654,802.6405785034966,208.68655041090912
100049,1.0,6.0,26.0,650.0,0.0,0.0,366.0,0.7527087992856969,2.0,-1086.385478799654,3073.867455795005,799.2055385067013
100051,2.0,112.0,160.0,9400.0,0.0,0.0,366.0,0.7518321458221023,2.0,-1086.385478799654,44568.2753643922,11587.751594741972
100052,1.0,398.0,1743.0,225.0,0.0,0.0,366.0,0.1081179353138085,0.0,-1086.385478799654,45.796014055489174,11.906963654427186
100054,12.0,971.0,1818.0,2346.7791666666667,2.0,1420.605,366.0,0.010494344054088733,0.0,1445.803130989239,175.36088406272322,45.59382985630804
100056,1.0,22.0,831.0,500.0,0.0,0.0,366.0,0.057129351947383146,0.0,-1086.385478799654,79.95755765663688,20.78896499072559
100057,1.0,49.0,1146.0,800.0,0.0,0.0,366.0,0.035108032384952415,0.0,-1086.385478799654,64.60108106324522,16.79628107644376
100058,4.0,628.0,1279.0,3455.575,0.0,0.0,366.0,0.2045543103687657,0.0,-1086.385478799654,2789.8360133674514,725.3573634755373
100060,2.0,797.0,1407.0,295.0,0.0,0.0,366.0,0.43351524328379293,0.0,-1086.385478799654,338.22270643268746,87.93790367249875
